unicode,gb2312,Chinese,stroke number
0x6448,0xB1F7,摈,13
0x5175,0xB1F8,兵,7
0x51B0,0xB1F9,冰,6
0x67C4,0xB1FA,柄,9
0x4E19,0xB1FB,丙,5
0x79C9,0xB1FC,秉,8
0x997C,0xB1FD,饼,9
0x70B3,0xB1FE,炳,9
0x75C5,0xB2A1,病,10
0x5E76,0xB2A2,并,6
0x73BB,0xB2A3,玻,8
0x83E0,0xB2A4,菠,11
0x64AD,0xB2A5,播,15
0x62E8,0xB2A6,拨,8
0x94B5,0xB2A7,钵,10
0x6CE2,0xB2A8,波,8
0x535A,0xB2A9,博,12
0x52C3,0xB2AA,勃,9
0x640F,0xB2AB,搏,13
0x94C2,0xB2AC,铂,10
0x7B94,0xB2AD,箔,14
0x4F2F,0xB2AE,伯,7
0x5E1B,0xB2AF,帛,8
0x8236,0xB2B0,舶,11
0x8116,0xB2B1,脖,11
0x818A,0xB2B2,膊,14
0x6E24,0xB2B3,渤,12
0x6CCA,0xB2B4,泊,8
0x9A73,0xB2B5,驳,7
0x6355,0xB2B6,捕,10
0x535C,0xB2B7,卜,2
0x54FA,0xB2B8,哺,10
0x8865,0xB2B9,补,7
0x57E0,0xB2BA,埠,11
0x4E0D,0xB2BB,不,4
0x5E03,0xB2BC,布,5
0x6B65,0xB2BD,步,7
0x7C3F,0xB2BE,簿,19
0x90E8,0xB2BF,部,10
0x6016,0xB2C0,怖,8
0x64E6,0xB2C1,擦,17
0x731C,0xB2C2,猜,11
0x88C1,0xB2C3,裁,12
0x6750,0xB2C4,材,7
0x624D,0xB2C5,才,3
0x8D22,0xB2C6,财,7
0x776C,0xB2C7,睬,12
0x8E29,0xB2C8,踩,15
0x91C7,0xB2C9,采,8
0x5F69,0xB2CA,彩,11
0x83DC,0xB2CB,菜,11
0x8521,0xB2CC,蔡,14
0x9910,0xB2CD,餐,16
0x53C2,0xB2CE,参,8
0x8695,0xB2CF,蚕,10
0x6B8B,0xB2D0,残,9
0x60ED,0xB2D1,惭,11
0x60E8,0xB2D2,惨,11
0x707F,0xB2D3,灿,7
0x82CD,0xB2D4,苍,7
0x8231,0xB2D5,舱,10
0x4ED3,0xB2D6,仓,4
0x6CA7,0xB2D7,沧,7
0x85CF,0xB2D8,藏,17
0x64CD,0xB2D9,操,16
0x7CD9,0xB2DA,糙,16
0x69FD,0xB2DB,槽,15
0x66F9,0xB2DC,曹,11
0x8349,0xB2DD,草,9
0x5395,0xB2DE,厕,8
0x7B56,0xB2DF,策,12
0x4FA7,0xB2E0,侧,8
0x518C,0xB2E1,册,5
0x6D4B,0xB2E2,测,9
0x5C42,0xB2E3,层,7
0x8E6D,0xB2E4,蹭,19
0x63D2,0xB2E5,插,12
0x53C9,0xB2E6,叉,3
0x832C,0xB2E7,茬,9
0x8336,0xB2E8,茶,9
0x67E5,0xB2E9,查,9
0x78B4,0xB2EA,碴,14
0x643D,0xB2EB,搽,12
0x5BDF,0xB2EC,察,14
0x5C94,0xB2ED,岔,7
0x5DEE,0xB2EE,差,9
0x8BE7,0xB2EF,诧,8
0x62C6,0xB2F0,拆,8
0x67F4,0xB2F1,柴,10
0x8C7A,0xB2F2,豺,10
0x6400,0xB2F3,搀,12
0x63BA,0xB2F4,掺,11
0x8749,0xB2F5,蝉,14
0x998B,0xB2F6,馋,12
0x8C17,0xB2F7,谗,11
0x7F20,0xB2F8,缠,13
0x94F2,0xB2F9,铲,11
0x4EA7,0xB2FA,产,6
0x9610,0xB2FB,阐,11
0x98A4,0xB2FC,颤,19
0x660C,0xB2FD,昌,8
0x7316,0xB2FE,猖,11
0x573A,0xB3A1,场,6
0x5C1D,0xB3A2,尝,9
0x5E38,0xB3A3,常,11
0x957F,0xB3A4,长,4
0x507F,0xB3A5,偿,11
0x80A0,0xB3A6,肠,7
0x5382,0xB3A7,厂,2
0x655E,0xB3A8,敞,12
0x7545,0xB3A9,畅,8
0x5531,0xB3AA,唱,11
0x5021,0xB3AB,倡,10
0x8D85,0xB3AC,超,12
0x6284,0xB3AD,抄,7
0x949E,0xB3AE,钞,9
0x671D,0xB3AF,朝,12
0x5632,0xB3B0,嘲,15
0x6F6E,0xB3B1,潮,15
0x5DE2,0xB3B2,巢,11
0x5435,0xB3B3,吵,7
0x7092,0xB3B4,炒,8
0x8F66,0xB3B5,车,4
0x626F,0xB3B6,扯,7
0x64A4,0xB3B7,撤,15
0x63A3,0xB3B8,掣,12
0x5F7B,0xB3B9,彻,7
0x6F88,0xB3BA,澈,15
0x90F4,0xB3BB,郴,10
0x81E3,0xB3BC,臣,6
0x8FB0,0xB3BD,辰,7
0x5C18,0xB3BE,尘,6
0x6668,0xB3BF,晨,11
0x5FF1,0xB3C0,忱,7
0x6C89,0xB3C1,沉,7
0x9648,0xB3C2,陈,7
0x8D81,0xB3C3,趁,12
0x886C,0xB3C4,衬,8
0x6491,0xB3C5,撑,15
0x79F0,0xB3C6,称,10
0x57CE,0xB3C7,城,9
0x6A59,0xB3C8,橙,16
0x6210,0xB3C9,成,6
0x5448,0xB3CA,呈,7
0x4E58,0xB3CB,乘,10
0x7A0B,0xB3CC,程,12
0x60E9,0xB3CD,惩,12
0x6F84,0xB3CE,澄,15
0x8BDA,0xB3CF,诚,8
0x627F,0xB3D0,承,8
0x901E,0xB3D1,逞,10
0x9A8B,0xB3D2,骋,10
0x79E4,0xB3D3,秤,10
0x5403,0xB3D4,吃,6
0x75F4,0xB3D5,痴,13
0x6301,0xB3D6,持,9
0x5319,0xB3D7,匙,11
0x6C60,0xB3D8,池,6
0x8FDF,0xB3D9,迟,7
0x5F1B,0xB3DA,弛,6
0x9A70,0xB3DB,驰,6
0x803B,0xB3DC,耻,10
0x9F7F,0xB3DD,齿,8
0x4F88,0xB3DE,侈,8
0x5C3A,0xB3DF,尺,4
0x8D64,0xB3E0,赤,7
0x7FC5,0xB3E1,翅,10
0x65A5,0xB3E2,斥,5
0x70BD,0xB3E3,炽,9
0x5145,0xB3E4,充,6
0x51B2,0xB3E5,冲,6
0x866B,0xB3E6,虫,6
0x5D07,0xB3E7,崇,11
0x5BA0,0xB3E8,宠,8
0x62BD,0xB3E9,抽,8
0x916C,0xB3EA,酬,13
0x7574,0xB3EB,畴,12
0x8E0C,0xB3EC,踌,14
0x7A20,0xB3ED,稠,13
0x6101,0xB3EE,愁,13
0x7B79,0xB3EF,筹,13
0x4EC7,0xB3F0,仇,4
0x7EF8,0xB3F1,绸,11
0x7785,0xB3F2,瞅,14
0x4E11,0xB3F3,丑,4
0x81ED,0xB3F4,臭,10
0x521D,0xB3F5,初,7
0x51FA,0xB3F6,出,5
0x6A71,0xB3F7,橱,16
0x53A8,0xB3F8,厨,12
0x8E87,0xB3F9,躇,18
0x9504,0xB3FA,锄,12
0x96CF,0xB3FB,雏,13
0x6EC1,0xB3FC,滁,12
0x9664,0xB3FD,除,9
0x695A,0xB3FE,楚,13
0x7840,0xB4A1,础,10
0x50A8,0xB4A2,储,12
0x77D7,0xB4A3,矗,24
0x6410,0xB4A4,搐,13
0x89E6,0xB4A5,触,13
0x5904,0xB4A6,处,5
0x63E3,0xB4A7,揣,12
0x5DDD,0xB4A8,川,3
0x7A7F,0xB4A9,穿,9
0x693D,0xB4AA,椽,13
0x4F20,0xB4AB,传,7
0x8239,0xB4AC,船,11
0x5598,0xB4AD,喘,12
0x4E32,0xB4AE,串,7
0x75AE,0xB4AF,疮,9
0x7A97,0xB4B0,窗,12
0x5E62,0xB4B1,幢,15
0x5E8A,0xB4B2,床,7
0x95EF,0xB4B3,闯,6
0x521B,0xB4B4,创,6
0x5439,0xB4B5,吹,7
0x708A,0xB4B6,炊,8
0x6376,0xB4B7,捶,11
0x9524,0xB4B8,锤,13
0x5782,0xB4B9,垂,8
0x6625,0xB4BA,春,9
0x693F,0xB4BB,椿,13
0x9187,0xB4BC,醇,15
0x5507,0xB4BD,唇,10
0x6DF3,0xB4BE,淳,11
0x7EAF,0xB4BF,纯,7
0x8822,0xB4C0,蠢,21
0x6233,0xB4C1,戳,18
0x7EF0,0xB4C2,绰,11
0x75B5,0xB4C3,疵,11
0x8328,0xB4C4,茨,9
0x78C1,0xB4C5,磁,14
0x96CC,0xB4C6,雌,14
0x8F9E,0xB4C7,辞,13
0x6148,0xB4C8,慈,13
0x74F7,0xB4C9,瓷,10
0x8BCD,0xB4CA,词,7
0x6B64,0xB4CB,此,6
0x523A,0xB4CC,刺,8
0x8D50,0xB4CD,赐,12
0x6B21,0xB4CE,次,6
0x806A,0xB4CF,聪,15
0x8471,0xB4D0,葱,12
0x56F1,0xB4D1,囱,7
0x5306,0xB4D2,匆,5
0x4ECE,0xB4D3,从,4
0x4E1B,0xB4D4,丛,5
0x51D1,0xB4D5,凑,11
0x7C97,0xB4D6,粗,11
0x918B,0xB4D7,醋,15
0x7C07,0xB4D8,簇,17
0x4FC3,0xB4D9,促,9
0x8E7F,0xB4DA,蹿,19
0x7BE1,0xB4DB,篡,16
0x7A9C,0xB4DC,窜,12
0x6467,0xB4DD,摧,14
0x5D14,0xB4DE,崔,11
0x50AC,0xB4DF,催,13
0x8106,0xB4E0,脆,10
0x7601,0xB4E1,瘁,13
0x7CB9,0xB4E2,粹,14
0x6DEC,0xB4E3,淬,11
0x7FE0,0xB4E4,翠,14
0x6751,0xB4E5,村,7
0x5B58,0xB4E6,存,6
0x5BF8,0xB4E7,寸,3
0x78CB,0xB4E8,磋,14
0x64AE,0xB4E9,撮,15
0x6413,0xB4EA,搓,12
0x63AA,0xB4EB,措,11
0x632B,0xB4EC,挫,10
0x9519,0xB4ED,错,13
0x642D,0xB4EE,搭,12
0x8FBE,0xB4EF,达,6
0x7B54,0xB4F0,答,12
0x7629,0xB4F1,瘩,14
0x6253,0xB4F2,打,5
0x5927,0xB4F3,大,3
0x5446,0xB4F4,呆,7
0x6B79,0xB4F5,歹,4
0x50A3,0xB4F6,傣,12
0x6234,0xB4F7,戴,17
0x5E26,0xB4F8,带,9
0x6B86,0xB4F9,殆,9
0x4EE3,0xB4FA,代,5
0x8D37,0xB4FB,贷,9
0x888B,0xB4FC,袋,11
0x5F85,0xB4FD,待,9
0x902E,0xB4FE,逮,11
0x6020,0xB5A1,怠,9
0x803D,0xB5A2,耽,10
0x62C5,0xB5A3,担,8
0x4E39,0xB5A4,丹,4
0x5355,0xB5A5,单,8
0x90F8,0xB5A6,郸,10
0x63B8,0xB5A7,掸,11
0x80C6,0xB5A8,胆,9
0x65E6,0xB5A9,旦,5
0x6C2E,0xB5AA,氮,12
0x4F46,0xB5AB,但,7
0x60EE,0xB5AC,惮,11
0x6DE1,0xB5AD,淡,11
0x8BDE,0xB5AE,诞,8
0x5F39,0xB5AF,弹,11
0x86CB,0xB5B0,蛋,11
0x5F53,0xB5B1,当,6
0x6321,0xB5B2,挡,9
0x515A,0xB5B3,党,10
0x8361,0xB5B4,荡,9
0x6863,0xB5B5,档,10
0x5200,0xB5B6,刀,2
