unicode,gb2312,Chinese,stroke number
0x4E8D,0xD8A1,亍,3
0x4E0C,0xD8A2,丌,3
0x5140,0xD8A3,兀,3
0x4E10,0xD8A4,丐,4
0x5EFF,0xD8A5,廿,4
0x5345,0xD8A6,卅,4
0x4E15,0xD8A7,丕,5
0x4E98,0xD8A8,亘,6
0x4E1E,0xD8A9,丞,6
0x9B32,0xD8AA,鬲,10
0x5B6C,0xD8AB,孬,10
0x5669,0xD8AC,噩,16
0x4E28,0xD8AD,丨,1
0x79BA,0xD8AE,禺,8
0x4E3F,0xD8AF,丿,1
0x5315,0xD8B0,匕,2
0x4E47,0xD8B1,乇,3
0x592D,0xD8B2,夭,4
0x723B,0xD8B3,爻,4
0x536E,0xD8B4,卮,5
0x6C10,0xD8B5,氐,5
0x56DF,0xD8B6,囟,6
0x80E4,0xD8B7,胤,9
0x9997,0xD8B8,馗,11
0x6BD3,0xD8B9,毓,14
0x777E,0xD8BA,睾,14
0x9F17,0xD8BB,鼗,19
0x4E36,0xD8BC,丶,1
0x4E9F,0xD8BD,亟,8
0x9F10,0xD8BE,鼐,14
0x4E5C,0xD8BF,乜,2
0x4E69,0xD8C0,乩,6
0x4E93,0xD8C1,亓,4
0x8288,0xD8C2,芈,7
0x5B5B,0xD8C3,孛,7
0x556C,0xD8C4,啬,11
0x560F,0xD8C5,嘏,14
0x4EC4,0xD8C6,仄,4
0x538D,0xD8C7,厍,6
0x539D,0xD8C8,厝,10
0x53A3,0xD8C9,厣,11
0x53A5,0xD8CA,厥,12
0x53AE,0xD8CB,厮,14
0x9765,0xD8CC,靥,15
0x8D5D,0xD8CD,赝,16
0x531A,0xD8CE,匚,2
0x53F5,0xD8CF,叵,5
0x5326,0xD8D0,匦,8
0x532E,0xD8D1,匮,11
0x533E,0xD8D2,匾,11
0x8D5C,0xD8D3,赜,15
0x5366,0xD8D4,卦,8
0x5363,0xD8D5,卣,7
0x5202,0xD8D6,刂,2
0x5208,0xD8D7,刈,4
0x520E,0xD8D8,刎,6
0x522D,0xD8D9,刭,7
0x5233,0xD8DA,刳,8
0x523F,0xD8DB,刿,8
0x5240,0xD8DC,剀,8
0x524C,0xD8DD,剌,9
0x525E,0xD8DE,剞,10
0x5261,0xD8DF,剡,10
0x525C,0xD8E0,剜,10
0x84AF,0xD8E1,蒯,13
0x527D,0xD8E2,剽,13
0x5282,0xD8E3,劂,14
0x5281,0xD8E4,劁,14
0x5290,0xD8E5,劐,15
0x5293,0xD8E6,劓,16
0x5182,0xD8E7,冂,2
0x7F54,0xD8E8,罔,8
0x4EBB,0xD8E9,亻,2
0x4EC3,0xD8EA,仃,4
0x4EC9,0xD8EB,仉,4
0x4EC2,0xD8EC,仂,4
0x4EE8,0xD8ED,仨,5
0x4EE1,0xD8EE,仡,5
0x4EEB,0xD8EF,仫,5
0x4EDE,0xD8F0,仞,5
0x4F1B,0xD8F1,伛,6
0x4EF3,0xD8F2,仳,6
0x4F22,0xD8F3,伢,6
0x4F64,0xD8F4,佤,6
0x4EF5,0xD8F5,仵,6
0x4F25,0xD8F6,伥,6
0x4F27,0xD8F7,伧,6
0x4F09,0xD8F8,伉,6
0x4F2B,0xD8F9,伫,6
0x4F5E,0xD8FA,佞,7
0x4F67,0xD8FB,佧,7
0x6538,0xD8FC,攸,7
0x4F5A,0xD8FD,佚,7
0x4F5D,0xD8FE,佝,7
0x4F5F,0xD9A1,佟,7
0x4F57,0xD9A2,佗,7
0x4F32,0xD9A3,伲,7
0x4F3D,0xD9A4,伽,7
0x4F76,0xD9A5,佶,8
0x4F74,0xD9A6,佴,8
0x4F91,0xD9A7,侑,8
0x4F89,0xD9A8,侉,8
0x4F83,0xD9A9,侃,8
0x4F8F,0xD9AA,侏,8
0x4F7E,0xD9AB,佾,8
0x4F7B,0xD9AC,佻,8
0x4FAA,0xD9AD,侪,8
0x4F7C,0xD9AE,佼,8
0x4FAC,0xD9AF,侬,8
0x4F94,0xD9B0,侔,8
0x4FE6,0xD9B1,俦,9
0x4FE8,0xD9B2,俨,9
0x4FEA,0xD9B3,俪,9
0x4FC5,0xD9B4,俅,9
0x4FDA,0xD9B5,俚,9
0x4FE3,0xD9B6,俣,9
0x4FDC,0xD9B7,俜,9
0x4FD1,0xD9B8,俑,9
0x4FDF,0xD9B9,俟,9
0x4FF8,0xD9BA,俸,10
0x5029,0xD9BB,倩,10
0x504C,0xD9BC,偌,10
0x4FF3,0xD9BD,俳,10
0x502C,0xD9BE,倬,10
0x500F,0xD9BF,倏,10
0x502E,0xD9C0,倮,10
0x502D,0xD9C1,倭,10
0x4FFE,0xD9C2,俾,10
0x501C,0xD9C3,倜,10
0x500C,0xD9C4,倌,10
0x5025,0xD9C5,倥,10
0x5028,0xD9C6,倨,10
0x507E,0xD9C7,偾,11
0x5043,0xD9C8,偃,11
0x5055,0xD9C9,偕,11
0x5048,0xD9CA,偈,11
0x504E,0xD9CB,偎,11
0x506C,0xD9CC,偬,11
0x507B,0xD9CD,偻,11
0x50A5,0xD9CE,傥,12
0x50A7,0xD9CF,傧,12
0x50A9,0xD9D0,傩,12
0x50BA,0xD9D1,傺,13
0x50D6,0xD9D2,僖,14
0x5106,0xD9D3,儆,14
0x50ED,0xD9D4,僭,14
0x50EC,0xD9D5,僬,14
0x50E6,0xD9D6,僦,14
0x50EE,0xD9D7,僮,14
0x5107,0xD9D8,儇,15
0x510B,0xD9D9,儋,15
0x4EDD,0xD9DA,仝,5
0x6C3D,0xD9DB,氽,6
0x4F58,0xD9DC,佘,7
0x4F65,0xD9DD,佥,7
0x4FCE,0xD9DE,俎,9
0x9FA0,0xD9DF,龠,17
0x6C46,0xD9E0,汆,6
0x7C74,0xD9E1,籴,8
0x516E,0xD9E2,兮,4
0x5DFD,0xD9E3,巽,12
0x9EC9,0xD9E4,黉,16
0x9998,0xD9E5,馘,17
0x5181,0xD9E6,冁,18
0x5914,0xD9E7,夔,21
0x52F9,0xD9E8,勹,2
0x530D,0xD9E9,匍,9
0x8A07,0xD9EA,訇,9
0x5310,0xD9EB,匐,11
0x51EB,0xD9EC,凫,6
0x5919,0xD9ED,夙,6
0x5155,0xD9EE,兕,7
0x4EA0,0xD9EF,亠,2
0x5156,0xD9F0,兖,8
0x4EB3,0xD9F1,亳,10
0x886E,0xD9F2,衮,10
0x88A4,0xD9F3,袤,11
0x4EB5,0xD9F4,亵,12
0x8114,0xD9F5,脔,12
0x88D2,0xD9F6,裒,12
0x7980,0xD9F7,禀,13
0x5B34,0xD9F8,嬴,16
0x8803,0xD9F9,蠃,19
0x7FB8,0xD9FA,羸,19
0x51AB,0xD9FB,冫,2
0x51B1,0xD9FC,冱,6
0x51BD,0xD9FD,冽,8
0x51BC,0xD9FE,冼,8
0x51C7,0xDAA1,凇,10
0x5196,0xDAA2,冖,2
0x51A2,0xDAA3,冢,10
0x51A5,0xDAA4,冥,10
0x8BA0,0xDAA5,讠,2
0x8BA6,0xDAA6,讦,5
0x8BA7,0xDAA7,讧,5
0x8BAA,0xDAA8,讪,5
0x8BB4,0xDAA9,讴,6
0x8BB5,0xDAAA,讵,6
0x8BB7,0xDAAB,讷,6
0x8BC2,0xDAAC,诂,7
0x8BC3,0xDAAD,诃,7
0x8BCB,0xDAAE,诋,7
0x8BCF,0xDAAF,诏,7
0x8BCE,0xDAB0,诎,7
0x8BD2,0xDAB1,诒,7
0x8BD3,0xDAB2,诓,8
0x8BD4,0xDAB3,诔,8
0x8BD6,0xDAB4,诖,8
0x8BD8,0xDAB5,诘,8
0x8BD9,0xDAB6,诙,8
0x8BDC,0xDAB7,诜,8
0x8BDF,0xDAB8,诟,8
0x8BE0,0xDAB9,诠,8
0x8BE4,0xDABA,诤,8
0x8BE8,0xDABB,诨,8
0x8BE9,0xDABC,诩,8
0x8BEE,0xDABD,诮,9
0x8BF0,0xDABE,诰,9
0x8BF3,0xDABF,诳,9
0x8BF6,0xDAC0,诶,9
0x8BF9,0xDAC1,诹,10
0x8BFC,0xDAC2,诼,10
0x8BFF,0xDAC3,诿,10
0x8C00,0xDAC4,谀,10
0x8C02,0xDAC5,谂,10
0x8C04,0xDAC6,谄,10
0x8C07,0xDAC7,谇,10
0x8C0C,0xDAC8,谌,11
0x8C0F,0xDAC9,谏,11
0x8C11,0xDACA,谑,11
0x8C12,0xDACB,谒,11
0x8C14,0xDACC,谔,11
0x8C15,0xDACD,谕,11
0x8C16,0xDACE,谖,11
0x8C19,0xDACF,谙,11
0x8C1B,0xDAD0,谛,11
0x8C18,0xDAD1,谘,11
0x8C1D,0xDAD2,谝,11
0x8C1F,0xDAD3,谟,12
0x8C20,0xDAD4,谠,12
0x8C21,0xDAD5,谡,12
0x8C25,0xDAD6,谥,12
0x8C27,0xDAD7,谧,12
0x8C2A,0xDAD8,谪,13
0x8C2B,0xDAD9,谫,13
0x8C2E,0xDADA,谮,14
0x8C2F,0xDADB,谯,14
0x8C32,0xDADC,谲,14
0x8C33,0xDADD,谳,15
0x8C35,0xDADE,谵,15
0x8C36,0xDADF,谶,19
0x5369,0xDAE0,卩,2
0x537A,0xDAE1,卺,8
0x961D,0xDAE2,阝,2
0x9622,0xDAE3,阢,5
0x9621,0xDAE4,阡,5
0x9631,0xDAE5,阱,6
0x962A,0xDAE6,阪,6
0x963D,0xDAE7,阽,7
0x963C,0xDAE8,阼,7
0x9642,0xDAE9,陂,7
0x9649,0xDAEA,陉,7
0x9654,0xDAEB,陔,8
0x965F,0xDAEC,陟,9
0x9667,0xDAED,陧,9
0x966C,0xDAEE,陬,10
0x9672,0xDAEF,陲,10
0x9674,0xDAF0,陴,10
0x9688,0xDAF1,隈,11
0x968D,0xDAF2,隍,11
0x9697,0xDAF3,隗,11
0x96B0,0xDAF4,隰,16
0x9097,0xDAF5,邗,5
0x909B,0xDAF6,邛,5
0x909D,0xDAF7,邝,5
0x9099,0xDAF8,邙,5
0x90AC,0xDAF9,邬,6
0x90A1,0xDAFA,邡,6
0x90B4,0xDAFB,邴,7
0x90B3,0xDAFC,邳,7
0x90B6,0xDAFD,邶,7
0x90BA,0xDAFE,邺,7
0x90B8,0xDBA1,邸,7
0x90B0,0xDBA2,邰,7
0x90CF,0xDBA3,郏,8
0x90C5,0xDBA4,郅,8
0x90BE,0xDBA5,邾,8
0x90D0,0xDBA6,郐,8
0x90C4,0xDBA7,郄,8
0x90C7,0xDBA8,郇,8
0x90D3,0xDBA9,郓,8
0x90E6,0xDBAA,郦,9
0x90E2,0xDBAB,郢,9
0x90DC,0xDBAC,郜,9
0x90D7,0xDBAD,郗,9
0x90DB,0xDBAE,郛,9
0x90EB,0xDBAF,郫,10
0x90EF,0xDBB0,郯,10
0x90FE,0xDBB1,郾,11
0x9104,0xDBB2,鄄,11
0x9122,0xDBB3,鄢,13
0x911E,0xDBB4,鄞,13
0x9123,0xDBB5,鄣,13
0x9131,0xDBB6,鄱,14
0x912F,0xDBB7,鄯,14
0x9139,0xDBB8,鄹,16
0x9143,0xDBB9,酃,19
0x9146,0xDBBA,酆,17
0x520D,0xDBBB,刍,5
0x5942,0xDBBC,奂,7
0x52A2,0xDBBD,劢,5
0x52AC,0xDBBE,劬,7
0x52AD,0xDBBF,劭,7
0x52BE,0xDBC0,劾,8
0x54FF,0xDBC1,哿,10
0x52D0,0xDBC2,勐,10
0x52D6,0xDBC3,勖,11
0x52F0,0xDBC4,勰,15
0x53DF,0xDBC5,叟,9
0x71EE,0xDBC6,燮,17
0x77CD,0xDBC7,矍,20
0x5EF4,0xDBC8,廴,2
0x51F5,0xDBC9,凵,2
