unicode,gb2312,Chinese,id
0x573A,0xB3A1,场,282
0x5C1D,0xB3A2,尝,283
0x5E38,0xB3A3,常,284
0x957F,0xB3A4,长,285
0x507F,0xB3A5,偿,286
0x80A0,0xB3A6,肠,287
0x5382,0xB3A7,厂,288
0x655E,0xB3A8,敞,289
0x7545,0xB3A9,畅,290
0x5531,0xB3AA,唱,291
0x5021,0xB3AB,倡,292
0x8D85,0xB3AC,超,293
0x6284,0xB3AD,抄,294
0x949E,0xB3AE,钞,295
0x671D,0xB3AF,朝,296
0x5632,0xB3B0,嘲,297
0x6F6E,0xB3B1,潮,298
0x5DE2,0xB3B2,巢,299
0x5435,0xB3B3,吵,300
0x7092,0xB3B4,炒,301
0x8F66,0xB3B5,车,302
0x626F,0xB3B6,扯,303
0x64A4,0xB3B7,撤,304
0x63A3,0xB3B8,掣,305
0x5F7B,0xB3B9,彻,306
0x6F88,0xB3BA,澈,307
0x90F4,0xB3BB,郴,308
0x81E3,0xB3BC,臣,309
0x8FB0,0xB3BD,辰,310
0x5C18,0xB3BE,尘,311
0x6668,0xB3BF,晨,312
0x5FF1,0xB3C0,忱,313
0x6C89,0xB3C1,沉,314
0x9648,0xB3C2,陈,315
0x8D81,0xB3C3,趁,316
0x886C,0xB3C4,衬,317
0x6491,0xB3C5,撑,318
0x79F0,0xB3C6,称,319
0x57CE,0xB3C7,城,320
0x6A59,0xB3C8,橙,321
0x6210,0xB3C9,成,322
0x5448,0xB3CA,呈,323
0x4E58,0xB3CB,乘,324
0x7A0B,0xB3CC,程,325
0x60E9,0xB3CD,惩,326
0x6F84,0xB3CE,澄,327
0x8BDA,0xB3CF,诚,328
0x627F,0xB3D0,承,329
0x901E,0xB3D1,逞,330
0x9A8B,0xB3D2,骋,331
0x79E4,0xB3D3,秤,332
0x5403,0xB3D4,吃,333
0x75F4,0xB3D5,痴,334
0x6301,0xB3D6,持,335
0x5319,0xB3D7,匙,336
0x6C60,0xB3D8,池,337
0x8FDF,0xB3D9,迟,338
0x5F1B,0xB3DA,弛,339
0x9A70,0xB3DB,驰,340
0x803B,0xB3DC,耻,341
0x9F7F,0xB3DD,齿,342
0x4F88,0xB3DE,侈,343
0x5C3A,0xB3DF,尺,344
0x8D64,0xB3E0,赤,345
0x7FC5,0xB3E1,翅,346
0x65A5,0xB3E2,斥,347
0x70BD,0xB3E3,炽,348
0x5145,0xB3E4,充,349
0x51B2,0xB3E5,冲,350
0x866B,0xB3E6,虫,351
0x5D07,0xB3E7,崇,352
