unicode,gb2312,Chinese,stroke number,id
0x853D,0xB1CE,蔽,14,139
0x6BD5,0xB1CF,毕,6,140
0x6BD9,0xB1D0,毙,10,141
0x6BD6,0xB1D1,毖,9,142
0x5E01,0xB1D2,币,4,143
0x5E87,0xB1D3,庇,7,144
0x75F9,0xB1D4,痹,13,145
0x95ED,0xB1D5,闭,6,146
0x655D,0xB1D6,敝,11,147
0x5F0A,0xB1D7,弊,14,148
0x5FC5,0xB1D8,必,5,149
0x8F9F,0xB1D9,辟,13,150
0x58C1,0xB1DA,壁,16,151
0x81C2,0xB1DB,臂,17,152
0x907F,0xB1DC,避,16,153
0x965B,0xB1DD,陛,9,154
0x97AD,0xB1DE,鞭,18,155
0x8FB9,0xB1DF,边,5,156
0x7F16,0xB1E0,编,12,157
0x8D2C,0xB1E1,贬,8,158
0x6241,0xB1E2,扁,9,159
0x4FBF,0xB1E3,便,9,160
0x53D8,0xB1E4,变,8,161
0x535E,0xB1E5,卞,4,162
0x8FA8,0xB1E6,辨,16,163
0x8FA9,0xB1E7,辩,16,164
0x8FAB,0xB1E8,辫,17,165
0x904D,0xB1E9,遍,12,166
0x6807,0xB1EA,标,9,167
0x5F6A,0xB1EB,彪,11,168
0x8198,0xB1EC,膘,15,169
0x8868,0xB1ED,表,8,170
0x9CD6,0xB1EE,鳖,19,171
0x618B,0xB1EF,憋,16,172
0x522B,0xB1F0,别,7,173
0x762A,0xB1F1,瘪,15,174
0x5F6C,0xB1F2,彬,11,175
0x658C,0xB1F3,斌,12,176
0x6FD2,0xB1F4,濒,16,177
0x6EE8,0xB1F5,滨,13,178
0x5BBE,0xB1F6,宾,10,179
0x6448,0xB1F7,摈,13,180
0x5175,0xB1F8,兵,7,181
0x51B0,0xB1F9,冰,6,182
0x67C4,0xB1FA,柄,9,183
0x4E19,0xB1FB,丙,5,184
0x79C9,0xB1FC,秉,8,185
0x997C,0xB1FD,饼,9,186
0x70B3,0xB1FE,炳,9,187
0x75C5,0xB2A1,病,10,188
0x5E76,0xB2A2,并,6,189
0x73BB,0xB2A3,玻,8,190
0x83E0,0xB2A4,菠,11,191
0x64AD,0xB2A5,播,15,192
0x62E8,0xB2A6,拨,8,193
0x94B5,0xB2A7,钵,10,194
0x6CE2,0xB2A8,波,8,195
0x535A,0xB2A9,博,12,196
0x52C3,0xB2AA,勃,9,197
0x640F,0xB2AB,搏,13,198
0x94C2,0xB2AC,铂,10,199
0x7B94,0xB2AD,箔,14,200
0x4F2F,0xB2AE,伯,7,201
0x5E1B,0xB2AF,帛,8,202
0x8236,0xB2B0,舶,11,203
0x8116,0xB2B1,脖,11,204
0x818A,0xB2B2,膊,14,205
0x6E24,0xB2B3,渤,12,206
0x6CCA,0xB2B4,泊,8,207
0x9A73,0xB2B5,驳,7,208
0x6355,0xB2B6,捕,10,209
0x535C,0xB2B7,卜,2,210
0x54FA,0xB2B8,哺,10,211
0x8865,0xB2B9,补,7,212
0x57E0,0xB2BA,埠,11,213
0x4E0D,0xB2BB,不,4,214
0x5E03,0xB2BC,布,5,215
